make,model,price
Acura,CL,$33186.85
Dodge,Dakota,$35978.91
Chevrolet,Sportvan G30,$12015.24
Porsche,944,$31455.09
Mitsubishi,Galant,$27818.42
Pontiac,Grand Prix Turbo,$14799.21
Pontiac,Montana,$18598.02
Isuzu,Space,$49194.83
Cadillac,DeVille,$42510.15
Oldsmobile,Aurora,$43663.53
Saab,9000,$16729.85
Dodge,Magnum,$27874.54
Subaru,Outback,$47002.20
Cadillac,Eldorado,$16314.72
Porsche,911,$11183.17
Isuzu,i-Series,$33534.30
GMC,Vandura 3500,$47397.23
GMC,Sierra Denali,$40711.57
Chevrolet,Tahoe,$48206.13
Buick,LeSabre,$19886.13
Honda,Odyssey,$42182.55
Mazda,MPV,$25705.72
Lexus,GS,$26816.65
BMW,3 Series,$47614.33
Maserati,Coupe,$32641.28
Lincoln,Mark VIII,$11288.98
Maybach,57,$48581.01
BMW,M3,$29580.32
Pontiac,Grand Prix,$13638.33
Dodge,Ram 1500,$17848.29
Mercedes-Benz,SLK-Class,$15692.48
Chrysler,Voyager,$34698.94
Mitsubishi,Lancer,$23050.32
Jeep,Wrangler,$19506.87
Dodge,Dakota Club,$23110.13
Mitsubishi,Galant,$44900.68
BMW,M5,$34484.86
Merkur,XR4Ti,$22922.10
Volvo,V40,$11849.46
Mercedes-Benz,SL-Class,$30935.93
Ford,F-Series Super Duty,$30481.52
Hyundai,Scoupe,$23096.52
BMW,Z4,$12669.11
Ford,Mustang,$48321.40
Audi,A4,$29393.46
Mercury,Villager,$14909.26
Isuzu,i-Series,$41797.19
Mercedes-Benz,GL-Class,$23448.42
Eagle,Talon,$31158.94
Ford,Expedition EL,$46582.95
Ford,E150,$30292.01
Plymouth,Voyager,$44935.16
Ford,F150,$24784.00
Mazda,MX-5,$49704.14
Isuzu,Hombre,$14387.00
GMC,Savana 2500,$41734.47
Nissan,Frontier,$35904.10
Volvo,XC60,$24345.04
Mercedes-Benz,S-Class,$16014.72
Chevrolet,Express 2500,$32768.76
Buick,Rendezvous,$29144.87
Buick,Skylark,$44225.94
Toyota,Tacoma,$35630.62
GMC,Sierra 3500,$19223.17
Cadillac,Escalade EXT,$42481.54
Lamborghini,Gallardo,$17170.64
Dodge,Shadow,$44727.40
Rolls-Royce,Phantom,$40733.42
Ford,Probe,$36678.67
Hyundai,Elantra,$46398.07
Ford,Ranger,$11183.22
Ford,Mustang,$32992.16
Buick,LaCrosse,$35631.87
Jeep,Grand Cherokee,$24689.14
Lincoln,Mark VIII,$32972.97
Chevrolet,Corvette,$26544.49
Dodge,Caravan,$42452.85
Dodge,Daytona,$12043.92
Kia,Sorento,$49528.13
Chevrolet,Metro,$28720.96
Hummer,H3,$18519.94
Chevrolet,Silverado,$30997.76
Dodge,Nitro,$15687.77
Infiniti,J,$42672.80
Ferrari,California,$34197.52
Chevrolet,Cobalt,$36179.64
Ford,Focus,$40186.57
Suzuki,XL-7,$13203.29
Volkswagen,Passat,$30936.91
Geo,Prizm,$31341.84
Chevrolet,Beretta,$15114.80
Acura,TSX,$12435.32
Dodge,Dakota Club,$26720.15
Toyota,Camry Hybrid,$25903.66
Jeep,Compass,$42710.11
Chevrolet,HHR,$48706.60
Mercedes-Benz,S-Class,$32592.38
BMW,M6,$30214.43
Subaru,Justy,$18799.94
Mercedes-Benz,S-Class,$22918.39
Ford,Tempo,$23668.75
Honda,CR-V,$17041.32
Saab,900,$34673.60
Mitsubishi,GTO,$28273.15
Mazda,MPV,$18121.65
Mercedes-Benz,E-Class,$37592.52
Buick,Regal,$49543.66
GMC,Safari,$26760.69
Geo,Metro,$14631.76
Buick,Regal,$35863.19
Nissan,Xterra,$39953.67
Lincoln,Continental,$26385.81
Mazda,929,$41102.88
Land Rover,Freelander,$34018.35
Dodge,Grand Caravan,$47258.24
Toyota,Prius,$27196.83
GMC,Safari,$35784.52
Mazda,Mazda5,$23232.88
Jaguar,XK Series,$28170.65
GMC,Safari,$18342.59
Ford,E250,$12768.65
Hyundai,Azera,$48774.00
Ford,Taurus,$26640.27
Morgan,Aero 8,$29108.67
Chevrolet,2500,$31270.12
Mercedes-Benz,C-Class,$18262.83
Suzuki,Grand Vitara,$15407.32
Mitsubishi,Challenger,$25448.82
Ford,Crown Victoria,$26634.47
Volvo,XC70,$18475.16
Mercury,Mariner,$43243.36
Chrysler,200,$49817.63
Daewoo,Leganza,$47747.13
Ford,Fiesta,$30118.02
Chevrolet,Malibu,$24706.23
Mercedes-Benz,W126,$28353.04
Ford,F250,$46443.36
Oldsmobile,Cutlass,$47954.61
Citroën,2CV,$45097.33
Nissan,Pathfinder,$14864.50
Infiniti,G,$24523.72
Chrysler,Prowler,$43769.74
BMW,5 Series,$45444.04
Dodge,Avenger,$11342.16
Volkswagen,Golf,$16767.06
Acura,NSX,$19704.78
GMC,Vandura G3500,$31244.65
Nissan,Pathfinder,$47838.10
Chevrolet,Express 3500,$10388.55
GMC,Vandura 3500,$47983.63
Mercedes-Benz,E-Class,$12260.44
Volkswagen,Golf III,$20701.57
Mazda,Tribute,$15279.96
Ford,EXP,$16466.33
Dodge,D150,$26029.97
Land Rover,Sterling,$10354.14
Jaguar,X-Type,$17572.60
Volkswagen,Golf III,$37851.29
Volvo,V50,$18146.02
Chevrolet,Volt,$22721.33
Chevrolet,Corvette,$19780.24
Lexus,LS,$45039.11
Ford,F250,$49566.32
Chevrolet,Sportvan G10,$39938.11
Lexus,RX,$20212.45
Plymouth,Grand Voyager,$20840.38
Hyundai,Sonata,$22520.58
MINI,Countryman,$29192.80
Cadillac,XLR,$13720.63
GMC,1500 Club Coupe,$29120.48
Mercedes-Benz,300CE,$29585.36
Isuzu,Rodeo,$11159.64
Ford,F150,$26041.35
Audi,A7,$45408.24
Infiniti,QX,$30329.80
Subaru,Impreza,$49018.83
Ford,F-Series,$11780.10
Toyota,Camry,$18428.63
Honda,Odyssey,$16332.77
Chevrolet,Malibu,$38513.20
Volkswagen,Passat,$20034.96
Porsche,928,$12314.27
Volkswagen,Passat,$35480.41
Toyota,4Runner,$46623.10
Lincoln,Continental,$41743.22
Hyundai,Veloster,$19815.32
GMC,Savana 1500,$29163.68
Ram,1500,$20910.78
Nissan,Maxima,$12059.46
Hyundai,Accent,$37471.80
Eagle,Vision,$20154.38
Acura,CL,$10863.49
Isuzu,Hombre,$29088.54
Mazda,Tribute,$44909.33
Chevrolet,Express 2500,$10614.49
Jeep,Patriot,$26188.07
Lexus,LS,$13850.70
BMW,Z4 M,$12014.32
Maserati,GranSport,$25736.93
Lincoln,Navigator,$23760.10
Toyota,Camry,$15360.46
Volkswagen,Touareg,$32614.73
Toyota,Corolla,$39560.27
Volkswagen,Jetta III,$30526.33
Plymouth,Neon,$11250.89
Volkswagen,Passat,$11676.65
Chevrolet,Corvette,$26830.08
Porsche,Cayenne,$25463.93
Chevrolet,Astro,$14997.44
Chevrolet,Monte Carlo,$37234.88
Saturn,S-Series,$11561.88
Mitsubishi,Challenger,$15066.96
Mitsubishi,Galant,$49189.84
Porsche,911,$28773.28
Infiniti,G37,$25921.61
GMC,Sierra 2500,$23367.28
Volkswagen,Jetta,$32348.43
GMC,Savana 2500,$12088.35
Subaru,Alcyone SVX,$24558.64
Audi,A4,$28614.59
Maybach,57,$46743.08
Volkswagen,Golf,$17237.09
Toyota,T100,$27411.13
Saab,9-5,$36135.79
Subaru,Justy,$24746.12
Nissan,Sentra,$33860.19
Honda,Odyssey,$17353.95
Mazda,MPV,$18474.62
Mitsubishi,Diamante,$21733.54
Isuzu,i-350,$44232.04
Toyota,Celica,$28400.35
Dodge,Ram Wagon B350,$30591.32
Geo,Metro,$27345.95
Lexus,ES,$42613.64
Oldsmobile,Achieva,$24952.81
Chevrolet,Traverse,$32567.63
Toyota,Land Cruiser,$28507.91
Pontiac,Bonneville,$11632.85
Honda,Ridgeline,$48081.27
Toyota,Yaris,$26755.73
Nissan,Pathfinder,$29213.38
Ford,F250,$14927.81
Mercedes-Benz,300E,$29529.24
Dodge,Viper,$18057.43
Suzuki,Daewoo Lacetti,$44215.78
Ford,Explorer,$29340.13
Honda,Fit,$44412.57
Audi,A8,$14407.49
Bentley,Continental GT,$15069.55
Cadillac,Seville,$46619.47
Mercedes-Benz,400SEL,$40137.76
Mitsubishi,3000GT,$22704.83
Chevrolet,S10,$15126.00
Nissan,Sentra,$46957.79
Toyota,MR2,$26996.10
Kia,Sportage,$48612.24
Subaru,Brat,$18367.31
Chevrolet,Astro,$22860.58
Porsche,Boxster,$14100.84
Subaru,Impreza,$13880.15
Pontiac,Tempest,$42089.26
Mitsubishi,Cordia,$27360.94
Chevrolet,Express,$34963.68
Lincoln,Navigator,$41155.55
Buick,Park Avenue,$14022.81
Audi,A8,$41190.30
Aston Martin,Vantage,$19333.73
Toyota,Celica,$16684.79
Volvo,S40,$14673.67
Buick,Century,$24405.12
Land Rover,Discovery,$48475.86
Ford,Explorer Sport Trac,$29373.39
Volkswagen,New Beetle,$17927.07
Chevrolet,Malibu,$43438.10
Toyota,Celica,$25458.60
Ford,E-Series,$37312.29
Volkswagen,Golf III,$21969.49
Ford,Windstar,$38053.36
Dodge,D350 Club,$31973.42
Pontiac,GTO,$39205.11
Lotus,Evora,$23620.94
Mercedes-Benz,E-Class,$42209.34
Chevrolet,Caprice,$23718.61
Lexus,GS,$26189.56
Aston Martin,V8 Vantage,$25033.10
Mitsubishi,Pajero,$38097.28
Dodge,Durango,$42229.81
Lotus,Elise,$14644.84
Toyota,Tacoma Xtra,$22708.35
GMC,Vandura 1500,$19573.97
GMC,Yukon,$22555.64
Geo,Prizm,$13384.55
Hyundai,Elantra,$38540.10
Chevrolet,Silverado 1500,$16994.34
Suzuki,XL-7,$35009.59
Volkswagen,CC,$37614.48
Ford,Five Hundred,$41716.12
Chevrolet,Tracker,$13497.41
Suzuki,Equator,$19447.93
Ford,Expedition,$40501.81
GMC,Suburban 2500,$31111.18
Subaru,Legacy,$22251.73
Mercury,Topaz,$16615.06
Ford,Thunderbird,$45671.35
Mitsubishi,Tredia,$40362.30
Toyota,Matrix,$29762.53
Volkswagen,Tiguan,$24263.08
Mercury,Sable,$18592.24
Volkswagen,Cabriolet,$33563.71
Mitsubishi,Mighty Max Macro,$34902.01
Chevrolet,1500,$43029.36
Maserati,GranSport,$20579.67
Infiniti,M,$12224.25
Pontiac,GTO,$18795.95
Ford,F250,$24383.06
Ford,Mustang,$41863.71
Hyundai,Accent,$26117.43
Ford,Expedition,$14687.45
Peugeot,207,$25879.01
Bentley,Azure T,$14121.06
BMW,X5,$49175.54
Mitsubishi,Raider,$42079.97
Mercedes-Benz,S-Class,$26742.37
Mitsubishi,Outlander,$48534.15
Volkswagen,Cabriolet,$27777.95
Dodge,Stratus,$15486.73
Saab,9-4X,$10980.68
Chevrolet,Impala,$25698.89
GMC,Yukon XL 2500,$25741.14
Lexus,GS,$45692.79
Cadillac,XLR-V,$37627.16
Chevrolet,Express 2500,$23545.63
Mazda,Millenia,$39468.24
Kia,Rio,$44124.57
Subaru,XT,$17040.30
Infiniti,I,$14951.37
Maserati,Gran Sport,$41855.34
Ford,Ranger,$27813.65
Infiniti,FX,$35003.16
Lexus,RX Hybrid,$24649.87
Mitsubishi,Lancer Evolution,$27304.17
Toyota,RAV4,$19782.44
BMW,7 Series,$35443.18
Acura,Legend,$10013.05
Mercury,Grand Marquis,$36176.27
Hyundai,Entourage,$21234.56
Mercedes-Benz,M-Class,$27454.13
Buick,Park Avenue,$12675.47
Volvo,S60,$37871.42
Dodge,Sprinter,$33670.75
Geo,Prizm,$15582.05
Acura,TL,$32065.94
Ford,Windstar,$35252.19
Mercedes-Benz,300TE,$11922.46
Ford,Tempo,$48029.88
Pontiac,Fiero,$12560.85
Cadillac,DeVille,$18242.64
Nissan,Maxima,$19818.31
Suzuki,X-90,$41368.06
Ford,Explorer,$41922.53
GMC,Yukon,$24320.76
Dodge,Ram 2500 Club,$20356.40
Ford,Ranger,$14379.10
Mercedes-Benz,SL-Class,$23868.43
Mitsubishi,Chariot,$21512.79
Cadillac,CTS,$32737.16
Audi,Q7,$30857.55
Audi,riolet,$49655.73
Volkswagen,Cabriolet,$10924.22
Volkswagen,CC,$37606.99
Buick,Regal,$16307.98
Ford,LTD Crown Victoria,$47397.94
Mercedes-Benz,SL-Class,$41976.17
Ford,Ranger,$15468.26
MINI,Countryman,$47095.84
Dodge,Dakota Club,$49349.80
Chevrolet,Corvette,$36222.53
Ford,Festiva,$22959.94
Oldsmobile,LSS,$45398.46
Cadillac,Escalade,$12254.19
Chevrolet,Express 3500,$41058.79
Chevrolet,Avalanche,$26760.35
Jaguar,X-Type,$28687.47
Buick,Regal,$28837.04
Volkswagen,Tiguan,$35791.82
Nissan,Maxima,$37412.17
Lincoln,Navigator,$21693.69
Nissan,350Z,$16574.92
Jaguar,XJ Series,$49961.53
Bentley,Continental Flying Spur,$42821.72
Maserati,GranTurismo,$18404.83
Subaru,Outback,$19356.24
Toyota,4Runner,$39195.63
Chevrolet,Impala,$29803.43
Lotus,Exige,$28168.57
Spyker,C8 Double 12 S,$47750.22
Jaguar,S-Type,$36731.15
Ford,Crown Victoria,$28291.81
Dodge,Ram,$16182.53
Chevrolet,K5 Blazer,$48628.13
Hillman,Minx Magnificent,$10275.84
Kia,Sephia,$23715.03
Kia,Rondo,$48141.91
Volkswagen,Cabriolet,$43844.72
Chevrolet,Astro,$28016.13
GMC,Sierra 3500,$29597.10
Plymouth,Voyager,$10144.83
Chevrolet,Avalanche 1500,$24018.11
Ford,Aerostar,$29573.35
Buick,Special,$15739.81
Volkswagen,New Beetle,$37905.64
Chevrolet,Cobalt,$49034.59
Audi,Coupe GT,$49325.66
Chrysler,Crossfire,$23093.12
Chevrolet,Impala,$23874.02
Eagle,Vision,$25753.61
Pontiac,GTO,$30218.39
Pontiac,Grand Am,$45662.19
Porsche,928,$46466.24
GMC,Sierra 3500,$40998.43
Jeep,Grand Cherokee,$48728.53
Volvo,V70,$31004.31
Hyundai,Tiburon,$13785.59
Chevrolet,Caprice,$15677.16
Volvo,C30,$49980.97
Buick,Enclave,$45780.59
Volkswagen,Phaeton,$31754.74
Ford,F-Series,$33002.80
Mazda,Mazda5,$12089.59
GMC,Savana 3500,$25935.96
Buick,Regal,$16401.38
Chevrolet,Tahoe,$41867.86
Lincoln,Navigator L,$23193.91
Ford,Ranger,$39904.07
Pontiac,Grand Am,$10387.25
Acura,TL,$43400.43
Hyundai,Accent,$29732.31
Mitsubishi,Challenger,$35844.01
Saturn,Ion,$17417.98
Land Rover,Range Rover,$43076.91
Lotus,Esprit,$13477.29
GMC,Suburban 2500,$13823.90
Toyota,Tacoma,$44402.54
Ford,Club Wagon,$40702.57
Nissan,Sentra,$39774.49
Toyota,Celica,$37694.03
Nissan,Xterra,$17414.29
Ford,Aerostar,$44732.69
Acura,NSX,$26245.02
Nissan,GT-R,$11010.87
Acura,MDX,$44156.71
Holden,VS Commodore,$15697.44
Mazda,Mazda3,$48229.07
Dodge,Ram 3500,$11377.46
Pontiac,G3,$23329.71
Subaru,Outback,$22748.34
Jeep,Grand Cherokee,$12500.12
Dodge,Ram Van 2500,$15764.09
GMC,Sonoma,$14223.46
Ford,Escort,$21317.40
Toyota,Tacoma,$10167.57
Chrysler,Sebring,$20273.60
BMW,7 Series,$33061.03
Nissan,Sentra,$26086.63
GMC,3500 Club Coupe,$36746.37
Corbin,Sparrow,$47436.13
Land Rover,Discovery,$39167.90
Toyota,4Runner,$37470.03
Mitsubishi,Galant,$35631.47
Kia,Rio,$18185.45
Audi,90,$21335.29
Dodge,Ram Van 3500,$24585.59
Scion,iQ,$39014.79
Mazda,Mazda6,$38436.33
Infiniti,M,$19726.85
Nissan,Pathfinder,$26165.18
Bentley,Arnage,$49477.32
Honda,CR-V,$28029.05
Nissan,Rogue,$14651.75
Mitsubishi,Eclipse,$44388.51
Geo,Prizm,$48576.09
Pontiac,Bonneville,$11130.78
Pontiac,G3,$37304.06
Volvo,V70,$37282.28
Volvo,S80,$37769.36
Chrysler,Sebring,$36781.48
Mercedes-Benz,W201,$41059.73
Pontiac,Firebird,$14825.47
Chevrolet,Camaro,$46837.67
Jaguar,XK Series,$33637.77
Dodge,Ram Van 2500,$21924.82
Audi,TT,$16966.90
Pontiac,6000,$18828.21
Dodge,Dakota Club,$27846.66
Dodge,Ram 1500,$31800.69
Chevrolet,Corvette,$28855.62
Volvo,S80,$34308.82
Volkswagen,Jetta,$18692.93
Lexus,IS,$21303.16
Hyundai,Sonata,$40310.12
Kia,Optima,$23348.92
Bentley,Continental GTC,$22848.93
Cadillac,STS-V,$26650.01
Audi,A4,$35384.15
Jeep,Liberty,$19644.20
Scion,tC,$10920.12
Suzuki,Equator,$18021.38
Audi,Coupe Quattro,$35664.40
Dodge,Ram 50,$44075.66
Volkswagen,rio,$43014.22
Toyota,Camry Solara,$19820.15
Kia,Sedona,$10524.25
Pontiac,Aztek,$33576.82
Hyundai,Sonata,$17959.24
